Allocate Payment Amount,分配付款金額,
Allocated Amount,已核銷金額,
Allocated Leaves,已分配休假天數,
Allocating leaves...,分配假期......,
Already record exists for the item {0},物料{0}已存在,
"Already set default in pos profile {0} for user {1}, kindly disabled default",已經在用戶{1}的pos配置文件{0}中設置了默認值，請禁用默認值,
Alternate Item,替代物料,
Alternative item must not be same as item code,替代物料不能與物料代碼相同,
Amended From,修訂源,
Amount,金額,
Amount After Depreciation,折舊金額后,
Amount of Integrated Tax,綜合稅額,
Amount of TDS Deducted,扣除TDS的金額,
Amount should not be less than zero.,金額不應小于零。,
Amount to Bill,待開費用清單金額,
Amount {0} {1} against {2} {3},數量 {0}{1} 對應 {2}{3},
Amount {0} {1} deducted against {2},金額{0} {1}抵扣{2},
Amount {0} {1} transferred from {2} to {3},金額{0} {1}從轉移{2}到{3},
Amount {0} {1} {2} {3},金額{0} {1} {2} {3},
Amt,金額,
"An Item Group exists with same name, please change the item name or rename the item group",同名物料群組已存在，請修改物料名或群組名,
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,這個“學年”一個學期{0}和“術語名稱”{1}已經存在。請修改這些條目，然后再試一次。,
An error occurred during the update process,更新過程中發生錯誤,
"An item exists with same name ({0}), please change the item group name or rename the item",具有名稱 {0} 的物料已存在，請更名,
Analyst,分析員,
Analytics,Analytics（分析）,
Annual Billing: {0},本年總發票金額：{0},
Annual Salary,年薪,
Anonymous,匿名,
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},對于財務年度{4}，{1}&#39;{2}&#39;和帳戶“{3}”已存在另一個預算記錄“{0}”,
Another Period Closing Entry {0} has been made after {1},在{1}之后另一個期間結束分錄{0}已經被錄入,
Another Sales Person {0} exists with the same Employee id,另外銷售人員{0}存在具有相同員工ID,
Antibiotic,抗生素,
Apparel & Accessories,服裝及配飾,
Applicable For,適用于,
"Applicable if the company is SpA, SApA or SRL",如果公司是SpA，SApA或SRL，則適用,
Applicable if the company is a limited liability company,適用于公司是有限責任公司的情況,
Applicable if the company is an Individual or a Proprietorship,適用于公司是個人或獨資企業的情況,
Applicant,申請人,
Applicant Type,申請人類型,
Application of Funds (Assets),資金(資產)申請,
Application period cannot be across two allocation records,申請期限不能跨越兩個分配記錄,
Application period cannot be outside leave allocation period,申請期間須在休假分配周期內,
Applied,應用的,
Apply Now,現在申請,
Appointment Confirmation,約定確認,
Appointment Duration (mins),約定持續時間（分鐘）,
Appointment Type,預約類型,
Appointment {0} and Sales Invoice {1} cancelled,約定{0}和銷售費用清單{1}已取消,
Appointments and Encounters,約會和偶遇,
Appointments and Patient Encounters,預約和病人遭遇,
Appraisal {0} created for Employee {1} in the given date range,員工{1}的限期評估{0}已經創建,
Apprentice,學徒,
Approval Status,審批狀態,
Approval Status must be 'Approved' or 'Rejected',審批狀態必須是“已批准”或“已拒絕”,
Approve,同意,
Approving Role cannot be same as role the rule is Applicable To,審批與被審批角色不能相同,
Approving User cannot be same as user the rule is Applicable To,審批與被審批用戶不能相同,
"Apps using current key won't be able to access, are you sure?",使用當前密鑰的應用程序將無法訪問，您確定嗎？,
Are you sure you want to cancel this appointment?,你確定要取消這個預約嗎？,
Arrear,欠款,
As Examiner,作為考官,
As On Date,截至日期,
As Supervisor,作為主管,
As per rules 42 & 43 of CGST Rules,根據CGST規則第42和43條,
As per section 17(5),根據第17（5）條,
As per your assigned Salary Structure you cannot apply for benefits,根據您指定的薪資結構，您無法申請福利,
Assessment,評估,
Assessment Criteria,評估標准,
Assessment Group,評估小組,
Assessment Group: ,評估組：,
Assessment Plan,評估計划,
Assessment Plan Name,評估計划名稱,
Assessment Report,評估報表,
Assessment Reports,評估報表,
Assessment Result,評價結果,
Assessment Result record {0} already exists.,評估結果記錄{0}已經存在。,
Asset,資產,
Asset Category,資產類別,
Asset Category is mandatory for Fixed Asset item,固定資產類的物料其資產類別字段是必填的,
Asset Maintenance,資產維護,
Asset Movement,資產移動,
Asset Movement record {0} created,資產移動記錄{0}創建,
Asset Name,資產名稱,
Asset Received But Not Billed,在途資產科目（已收到，未開票）,
Asset Value Adjustment,資產價值調整,
"Asset cannot be cancelled, as it is already {0}",資產不能被取消，因為它已經是{0},
Asset scrapped via Journal Entry {0},通過資產手工憑證報廢{0},
"Asset {0} cannot be scrapped, as it is already {1}",資產{0}不能被廢棄，因為它已經是{1},
Asset {0} does not belong to company {1},資產{0}不屬于公司{1},
Asset {0} must be submitted,資產{0}必須提交,
Assets,資產,
Assign,分配,
Assign Salary Structure,分配薪資結構,
Assign To,分配給,
Assign to Employees,分配給員工,
Assigning Structures...,分配結構...,
Associate,協理,
At least one mode of payment is required for POS invoice.,需要為POS費用清單定義至少一種付款模式,
Atleast one item should be entered with negative quantity in return document,在退貨憑證中至少一個物料的數量應該是負數,
Atleast one of the Selling or Buying must be selected,必須至少選擇'銷售'或'采購'其中的一項,
Atleast one warehouse is mandatory,必須選擇至少一個倉庫,
Attach Logo,附加標志,
Attachment,附件,
Attachments,附件,
Attendance,考勤,
Attendance From Date and Attendance To Date is mandatory,必須指定考勤起始日期和結束日期,
Attendance can not be marked for future dates,考勤不能選未來的日期,
Attendance date can not be less than employee's joining date,考勤日期不得早于員工入職日期,
Attendance for employee {0} is already marked,員工{0}的考勤已標記,
Attendance for employee {0} is already marked for this day,考勤員工{0}已標記為這一天,
Attendance has been marked successfully.,考勤登記成功。,
Attendance not submitted for {0} as it is a Holiday.,由于是假期，{0}的考勤未提交。,
Attendance not submitted for {0} as {1} on leave.,因{1}尚在休假中，{0}的考勤未能提交。,
Attribute table is mandatory,屬性表中的信息必填,
Attribute {0} selected multiple times in Attributes Table,屬性{0}多次選擇在屬性表,
Author,作者,
Authorized Signatory,授權簽字人,
Auto Material Requests Generated,已自動生成材料需求,
Auto Repeat,自動重復,
Auto repeat document updated,自動重復文件更新,
Automotive,汽車,
Available,可用的,
Available Leaves,可用休假天數,
Available Qty,可用數量,
Available Selling,可用銷售,
Available for use date is required,需要使用可用日期,
Available slots,可用插槽,
Available {0},可用{0},
Available-for-use Date should be after purchase date,可供使用的日期應在購買日期之后,
Average Age,平均庫齡,
Average Rate,平均率,
Avg Daily Outgoing,平均每日出貨,
Avg. Buying Price List Rate,平均采購價格清單價格,
Avg. Selling Price List Rate,平均銷售價格清單單價,
Avg. Selling Rate,平均賣出價,
BOM,BOM,
BOM Browser,物料清單瀏覽器,
BOM No,物料清單編號,
BOM Rate,物料清單稅率,
BOM Stock Report,物料清單庫存報表,
BOM and Manufacturing Quantity are required,物料清單和生產量是必需的,
BOM does not contain any stock item,物料清單不包含任何庫存物料,
BOM {0} does not belong to Item {1},物料清單{0}不屬于物料{1},
BOM {0} must be active,物料清單{0}必須處于激活狀態,
BOM {0} must be submitted,BOM{0}未提交,
Balance,余額,
Balance (Dr - Cr),結余（Dr  -  Cr）,
Balance ({0}),余額（{0}）,
Balance Qty,結余數量,
Balance Sheet,資產負債表,
Balance Value,結余金額,
Balance for Account {0} must always be {1},科目{0}的余額必須是{1},
Bank,銀行,
Bank Account,銀行科目,
Bank Accounts,銀行賬戶,
Bank Draft,銀行匯票,
Bank Entries,銀行條目,
Bank Name,銀行名稱,
Bank Overdraft Account,銀行透支賬戶,
Bank Reconciliation,銀行對帳,
Bank Reconciliation Statement,銀行對帳單,
Bank Statement,銀行對帳單,
Bank Statement Settings,銀行對賬單設置,
Bank Statement balance as per General Ledger,基于總帳的銀行對賬單余額,
Bank account cannot be named as {0},銀行賬戶不能命名為{0},
Bank/Cash transactions against party or for internal transfer,針對往來單位或內部轉帳的銀行/現金交易,
Banking,銀行業,
Banking and Payments,銀行和支付,
Barcode {0} already used in Item {1},條碼{0}已被物料{1}使用,
Barcode {0} is not a valid {1} code,條形碼{0}不是有效的{1}代碼,
Base,基礎,
Base URL,基本網址,
Based On,基于,
Based On Payment Terms,根據付款條款,
Basic,基本,
Batch,批次,
Batch Entries,批量條目,
Batch ID is mandatory,批號是必需的,
Batch Inventory,批號庫存,
Batch Name,批名,
Batch No,批號,
Batch number is mandatory for Item {0},物料{0}必須指定批次號,
Batch {0} of Item {1} has expired.,物料{1}的批號{0} 已過期。,
Batch {0} of Item {1} is disabled.,項目{1}的批處理{0}已禁用。,
Batch: ,批次：,
Batches,批,
Become a Seller,成為賣家,
Beginner,初學者,
Bill,賬單,
Bill Date,賬單日期,
Bill No,賬單編號,
Bill of Materials,材料清單,
Bill of Materials (BOM),物料清單（BOM）,
Billable Hours,可開票時間,
Billed,已開票,
Billed Amount,已開票金額,
Billing,賬單,
Billing Address,帳單地址,
Billing Address is same as Shipping Address,帳單地址與送貨地址相同,
Billing Amount,開票金額,
Billing Status,賬單狀態,
Billing currency must be equal to either default company's currency or party account currency,帳單貨幣必須等于默認公司的貨幣或科目幣種,
Bills raised by Suppliers.,供應商開出的賬單,
Bills raised to Customers.,對客戶開出的賬單。,
Biotechnology,生物技術,
Birthday Reminder,生日提醒,
Black,黑,
Blanket Orders from Costumers.,來自客戶的毯子訂單。,
Block Invoice,阻止費用清單,
Boms,物料清單,
Bonus Payment Date cannot be a past date,獎金支付日期不能是過去的日期,
Both Trial Period Start Date and Trial Period End Date must be set,必須設置試用期開始日期和試用期結束日期,
Both Warehouse must belong to same Company,兩個倉庫必須屬于同一公司,
Branch,分支機構（分公司）,
Broadcasting,廣播,
Brokerage,傭金,
Browse BOM,瀏覽BOM,
Budget Against,預算對象,
Budget List,預算清單,
Budget Variance Report,預算差異報表,
Budget cannot be assigned against Group Account {0},預算不能分派給群組類科目{0},
"Budget cannot be assigned against {0}, as it's not an Income or Expense account",財務預算案不能對{0}指定的，因為它不是一個收入或支出科目,
Buildings,房屋,
Bundle items at time of sale.,用于銷售的產品組合。,
Business Development Manager,業務發展經理,
Buy,采購,
Buying,采購,
Buying Amount,采購數量,
Buying Price List,采購價格清單,
Buying Rate,采購價,
"Buying must be checked, if Applicable For is selected as {0}",“適用于”為{0}時必須勾選“采購”,
By {0},到{0},
Bypass credit check at Sales Order ,在銷售訂單繞過信用檢查,
C-Form records,C-表記錄,
C-form is not applicable for Invoice: {0},C-形式不適用費用清單：{0},
CEO,CEO,
CESS Amount,CESS金額,
CGST Amount,CGST金額,
CRM,CRM,
CWIP Account,CWIP賬戶,
Calculated Bank Statement balance,計算的銀行對賬單余額,
Calls,電話,
Campaign,促銷活動,
Can be approved by {0},可以被{0}的批准,
"Can not filter based on Account, if grouped by Account",按科目分類后不能根據科目過濾,
"Can not filter based on Voucher No, if grouped by Voucher",按憑證分類后不能根據憑證編號過濾,
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}",無法標記出院的住院病歷，有未開單的費用清單{0},
Can only make payment against unbilled {0},只能為未開票{0}付款,
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',收取類型類型必須是“基于上一行的金額”或者“前一行的總計”才能引用組,
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",不能改變估值方法，因為已有業務費用清單使用了沒有估值方法的物料,
Can't create standard criteria. Please rename the criteria,無法創建標准條件。請重命名標准,
Cancel,取消,
Cancel Material Visit {0} before cancelling this Warranty Claim,取消此保修要求之前請先取消物料訪問{0},
Cancel Material Visits {0} before cancelling this Maintenance Visit,取消此上門保養之前請先取消物料訪問{0},
Cancel Subscription,取消訂閱,
Cancel the journal entry {0} first,首先取消日記條目{0},
Canceled,取消,
"Cannot Submit, Employees left to mark attendance",無法提交，不能為已離職員工登記考勤,
Cannot be a fixed asset item as Stock Ledger is created.,不能成為股票分類賬創建的固定資產項目。,
Cannot cancel because submitted Stock Entry {0} exists,不能取消，因為提交的倉儲記錄{0}已經存在,
Cannot cancel transaction for Completed Work Order.,無法取消已完成工單的交易。,
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},無法取消{0} {1}，因為序列號{2}不屬于倉庫{3},
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,股票交易后不能更改屬性。創建一個新項目並將庫存轉移到新項目,
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,財年保存后便不能更改財年開始日期和結束日期,
Cannot change Service Stop Date for item in row {0},無法更改行{0}中項目的服務停止日期,
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,存貨業務發生后不能更改變體物料的屬性。需要新建新物料。,
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",因為已有交易不能改變公司的默認貨幣，請先取消交易。,
Cannot change status as student {0} is linked with student application {1},無法改變狀態，因為學生{0}與學生的申請相鏈接{1},
Cannot convert Cost Center to ledger as it has child nodes,不能將成本中心轉換為分類賬，因為它有子項。,
Cannot covert to Group because Account Type is selected.,不能轉換到組，因為已選擇賬戶類型。,
Cannot create Retention Bonus for left Employees,無法為已離職員工創建持續服務獎,
Cannot create a Delivery Trip from Draft documents.,不能從“草稿”建立“銷售出貨配送路線安排”,
Cannot deactivate or cancel BOM as it is linked with other BOMs,無法停用或取消BOM，因為它被其他BOM引用。,
"Cannot declare as lost, because Quotation has been made.",已有報價的情況下，不能更改狀態為遺失。,
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',分類是“估值”或“估值和總計”的時候不能扣稅。,
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',當類是“估值”或“Vaulation和總&#39;不能扣除,
"Cannot delete Serial No {0}, as it is used in stock transactions",無法刪除序列號{0}，因為它已被庫存活動使用,
Cannot enroll more than {0} students for this student group.,不能注冊超過{0}學生到該學生群體。,
Cannot find active Leave Period,找不到有效的休假期間,
Cannot produce more Item {0} than Sales Order quantity {1},不能生產超過銷售訂單數量{1}的物料{0},
Cannot promote Employee with status Left,狀態為已離職的員工不能晉升,
Cannot refer row number greater than or equal to current row number for this Charge type,此收取類型不能引用大于或等于本行的數據。,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,第一行的“收取類型”不能是“基于上一行的金額”或者“前一行的總計”,
Cannot set as Lost as Sales Order is made.,已有銷售訂單的情況下，不能更改狀態為遺失。,
Cannot set authorization on basis of Discount for {0},不能為{0}設置折扣授權,
Cannot set multiple Item Defaults for a company.,無法為公司設置多個項目默認值。,
Cannot set quantity less than delivered quantity,無法設定數量小于交貨數量,
Cannot set quantity less than received quantity,無法設置小于收貨數量的數量,
Cannot set the field <b>{0}</b> for copying in variants,無法將字段<b>{0}設置</b>為在變體中進行復制,
Cannot transfer Employee with status Left,狀態為已離職的員工不能進行調動,
Cannot {0} {1} {2} without any negative outstanding invoice,沒有負的未完成費用清單，無法{0} {1} {2},
Capital Equipments,資本設備,
Capital Stock,股本,
Capital Work in Progress,在途資本,
Cart,購物車,
Cart is Empty,購物車是空的,
Case No(s) already in use. Try from Case No {0},箱號已被使用，請嘗試從{0}開始,
Cash,現金,
Cash Flow Statement,現金流量表,
Cash Flow from Financing,融資現金流,
Cash Flow from Investing,投資現金流,
Cash Flow from Operations,運營現金流,
Cash In Hand,現款,
Cash or Bank Account is mandatory for making payment entry,“現金”或“銀行賬戶”是付款分錄的必須項,
Cashier Closing,收銀員關閉,
Casual Leave,事假,
Category,類別,
Category Name,分類名稱,
Caution,警告,
Central Tax,中央稅,
Certification,證明,
Cess,塞斯,
Change Amount,找零,
Change Item Code,更改物料代碼,
Change Release Date,更改審批日期,
Change Template Code,更改模板代碼,
Changing Customer Group for the selected Customer is not allowed.,不允許更改所選客戶的客戶組。,
Chapter,章節,
Chapter information.,章節信息。,
Charge of type 'Actual' in row {0} cannot be included in Item Rate,行{0}中的收取類型“實際”不能包含在“物料稅率”,
Chargeble,Chargeble,
Charges are updated in Purchase Receipt against each item,費用會在每個物料的采購收貨單中更新,
"Charges will be distributed proportionately based on item qty or amount, as per your selection",費用會根據你選擇的物料數量和金額按比例分配。,
Chart of Cost Centers,成本中心表,
Check all,全選,
Checkout,退出,
Chemical,化學品,
Cheque,支票,
Cheque/Reference No,支票/參考編號,
Cheques Required,需要的支票,
Cheques and Deposits incorrectly cleared,支票及存款非正常清賬,
Child Task exists for this Task. You can not delete this Task.,子任務存在這個任務。你不能刪除這個任務。,
Child nodes can be only created under 'Group' type nodes,子節點只可創建在群組類節點下,
Child warehouse exists for this warehouse. You can not delete this warehouse.,子倉庫存在于這個倉庫。您不能刪除這個倉庫。,
Circular Reference Error,循環引用錯誤,
City,城市,
City/Town,市/鎮,
Claimed Amount,申報金額,
Clay,粘土,
Clear filters,清除過濾器,
Clear values,清晰的價值觀,
Clearance Date,清帳日期,
Clearance Date not mentioned,請填寫清帳日期,
Clearance Date updated,間隙更新日期,
Client,客戶,
Client ID,客戶端ID,
Client Secret,客戶秘密,
Clinical Procedure,臨床程序,
Clinical Procedure Template,臨床步驟模板,
Close Balance Sheet and book Profit or Loss.,關閉資產負債表，記帳到損益表。,
Close Loan,關閉貸款,
Close the POS,關閉POS,
Closed,已關閉,
Closed order cannot be cancelled. Unclose to cancel.,關閉的定單不能被取消。 打開關閉再取消。,
Closing (Cr),結算(信用),
Closing (Dr),結算(借記),
Closing (Opening + Total),期末（期初+總計）,
Closing Account {0} must be of type Liability / Equity,關閉科目{0}的類型必須是負債/權益,
Closing Balance,結算余額,
Code,代碼,
Collapse All,全部收縮,
Color,顏色,
Colour,顏色,
Combined invoice portion must equal 100%,合並費用清單部分必須等于100％,
Commercial,商業,
Commission,傭金,
Commission Rate %,傭金率％,
Commission on Sales,銷售傭金,
Commission rate cannot be greater than 100,傭金率不能大于100,
Community Forum,社區論壇,
Company (not Customer or Supplier) master.,公司(非客戶或供應商)主數據。,
Company Abbreviation,公司縮寫,
Company Abbreviation cannot have more than 5 characters,公司縮寫不能超過5個字符,
Company Name,公司名稱,
Company Name cannot be Company,公司名稱不能為公司,
Company currencies of both the companies should match for Inter Company Transactions.,兩家公司的公司貨幣應該符合Inter公司交易。,
Company is manadatory for company account,公司是公司賬戶的強制項,
Company name not same,公司名稱不一樣,
Company {0} does not exist,公司{0}不存在,
Compensatory Off,補假,
Compensatory leave request days not in valid holidays,補休假申請日不是在有效假期內,
Complaint,抱怨,
Completion Date,完成日期,
Computer,電腦,
Condition,條件,
Configure,配置,
Configure {0},配置{0},
Confirmed orders from Customers.,確認客戶訂單。,
Connect Amazon with ERPNext,將Amazon與ERPNext連接起來,
Connect Shopify with ERPNext,將Shopify與ERPNext連接,
Connect to Quickbooks,連接到Quickbooks,
Connected to QuickBooks,連接到QuickBooks,
Connecting to QuickBooks,連接到QuickBooks,
Consultation,會診,
Consultations,磋商,
Consulting,咨詢,
Consumable,耗材,
Consumed,已消耗,
Consumed Amount,消耗量,
Consumed Qty,已消耗數量,
Consumer Products,消費類產品,
Contact,聯系人,
Contact Details,聯系人信息,
Contact Number,聯系電話,
Contact Us,聯系我們,
Content,內容,
Content Masters,內容大師,
Content Type,內容類型,
Continue Configuration,繼續配置,
Contract,合同,
